NU_INSCRICAO;TP_SEXO;SG_UF_ESC;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
2,10054E+11;F;GO;D;E;C;C;4;C;A;C;D;B;A;B;B;A;A;A;A;A;B;A;A;E;A;A;B
2,10054E+11;F;GO;C;D;C;B;3;E;A;C;D;A;A;B;B;B;A;A;A;A;B;A;A;C;A;B;B
2,10053E+11;F;GO;D;D;B;B;5;E;A;B;D;A;A;B;B;B;A;B;A;A;C;B;A;E;A;C;B
2,10052E+11;M;GO;H;H;A;A;3;E;A;C;D;C;A;B;A;B;A;B;A;B;B;A;A;D;A;A;B
2,10053E+11;F;GO;H;D;A;B;4;B;A;B;B;A;A;B;B;A;A;A;A;A;B;B;A;E;A;A;B
2,10052E+11;F;GO;C;C;A;B;2;B;D;B;C;B;B;B;B;B;A;B;A;A;B;A;A;C;A;A;A
2,10052E+11;F;GO;B;F;C;D;3;F;A;B;C;B;A;B;A;A;A;B;A;A;B;A;A;D;A;B;B
2,10052E+11;F;GO;E;E;D;B;5;B;A;B;D;B;B;B;A;B;A;A;A;A;B;A;A;E;A;B;B
2,10052E+11;F;GO;F;F;D;A;2;C;A;B;D;B;A;B;B;A;A;B;A;A;B;A;A;C;A;B;B
2,10052E+11;F;GO;E;D;C;B;3;B;A;C;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B
2,10054E+11;F;GO;E;C;F;B;3;B;D;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,10054E+11;F;GO;B;A;A;A;3;E;A;B;D;B;B;B;A;B;A;B;A;B;B;A;A;C;A;B;B
2,10051E+11;M;GO;F;G;D;D;4;J;A;B;D;B;B;B;A;B;A;B;A;A;B;A;A;C;A;B;B
2,10053E+11;M;GO;E;D;F;B;5;B;A;B;D;A;A;B;A;B;A;B;A;A;B;A;A;E;A;B;B
2,10054E+11;F;GO;D;D;B;B;4;B;A;B;D;A;B;B;B;A;A;B;A;A;B;A;A;D;A;B;B
2,10053E+11;M;GO;B;D;A;B;4;B;A;B;C;A;C;B;A;B;A;A;A;A;B;A;A;C;A;B;B
2,10052E+11;F;GO;C;D;A;B;5;B;A;C;D;A;A;B;B;A;A;B;A;A;B;A;B;E;A;B;B
2,10054E+11;F;GO;H;F;C;B;3;C;A;B;D;A;B;B;A;B;A;B;A;A;B;A;B;C;A;A;B
2,10053E+11;M;GO;D;E;E;D;2;C;A;C;D;A;B;B;A;B;A;A;A;A;B;A;A;C;A;B;B
2,10054E+11;M;GO;H;E;F;D;5;D;A;B;D;B;B;B;B;B;A;A;A;A;B;A;A;E;A;B;B
2,10054E+11;F;GO;E;D;C;B;4;H;A;B;D;B;C;C;A;B;A;A;A;A;C;A;A;E;A;B;B
2,10053E+11;M;GO;B;C;B;B;3;C;A;B;C;B;B;B;B;A;A;A;A;A;B;A;A;C;A;A;B
2,10052E+11;F;GO;B;C;C;B;4;E;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B
2,10052E+11;F;GO;E;E;B;B;5;B;D;B;C;B;A;B;A;B;A;A;A;A;C;A;B;E;A;A;B
